6.0.1|Nexus 5X
7.0|HUAWEI VNS-L21
8.1.0|A20
7.0|Plume L1
7.0|Philips S327
7.1.1|SM-J510FN
8.0.0|H4213
8.1.0|en-US|ZTE BLADE A530
8.1.0|Redmi Go
9|SM-A305FN
4.2.2|Rover
8.0.0|MI 5
9|SM-A405FM
9|SM-A505FN
8.1.0|INOI_3
7.0|RNE-L21
9|SHT-AL09
8.0.0|G3416
7.1.1|Moto E (4)
7.1.2|Redmi 4X
9|Redmi Note 5
9|SM-J530FM
7.0|B5Pro
9|vivo 1901
4.4.2|ZTE Blade A5
7.1.2|Redmi 4A
9|SM-A305FN
8.1.0|en-US|Redmi 6
6.0.1|LEX722
8.0.0|RNE-L21
5.1.1|SM-G600FY
4.2.2|SHL22
4.1.2|GT-I8190L
9|id-id|Redmi Note 7
7.0|SM-A310F
7.0|AGS-L09
6.0.1|Redmi 4
6.0|MI 5
4.4.4|zh-cn|SM-G5308W
6.0.1|OPPO R9sk
5.1.1|zh-CN|Mi-4c
4.4.4|zh-cn|HM 2A
8.0.0|zh-cn|PRA-AL00
6.0.1|SM-G9006V
7.1.2|zh-CN|M6 Note
7.0|KNT-AL10
5.1|vivo X6D
7.0|EVA-AL00
9|SM-J415FN
8.1.0|BMM531A
9|SM-A605FN
8.1.0|Lenovo TB-X705L
8.1.0|Redmi 6
8.0.0|FIG-LX1
9|JAT-LX1
8.1.0|INOI_5i_Lite
8.1.0|JSN-L21
8.1.0|A4_Lite
6.0|Redmi Note 4
9|HRY-LX1
7.1.1|Nokia 2
5.1.1|RAINBOW LITE 4G
6.0|4034E
7.0|B5Pro
7.0|en-in|Redmi Note 4
7.1.2|KFKAWI
4.2.2|bg-bg|GT-S7582
6.0.1|SM-J106F
5.1.1|Lenovo TB2-X30L
9|Redmi 7
8.0.0|AUM-L29
7.1.2|Redmi 4A
9|HRY-LX1T
5.1|CP8676_I02
7.0|SM-A310F
6.0.1|Le X527
9|RMX1825
7.0|AGS-L09
8.1.0|Redmi 5A
8.1.0|SM-J710F
8.0.0|SM-A720F
6.0.1|Le 2
7.0|Redmi Note 4
9|MI 8
5.0.1|K019
9|Redmi 7A
7.0|Micromax Q402Plus
9|Mi 9T
6.0.1|Redmi Note 3
4.2.2|Lenovo A3500-FL
7.0|Q_Smart_BE
9|Redmi Note 6 Pro
7.1.2|Redmi 5A
8.1.0|Redmi 5A
7.0|SM-A310F
6.0|Le X625 
